"","Collection.date","Lineage names","n","freq"
"207",2022-04-14,"BA.2.9",9,8.11
"208",2022-06-02,"BA.4",7,8.05
"209",2022-05-05,"BA.2.9",14,7.91
"210",2022-06-05,"BA.2",4,7.84
"211",2022-06-26,"Other",4,7.84
"212",2022-06-06,"BA.5",5,7.81
"213",2022-06-23,"BA.4",5,7.69
"214",2022-06-23,"BA.5.5",5,7.69
"215",2022-06-25,"BA.5",5,7.69
"216",2022-06-25,"BA.5.1",5,7.69
"217",2022-06-25,"BA.5.2",5,7.69
"218",2022-06-25,"BA.5.2.1",5,7.69
"219",2022-04-18,"BA.2.9",10,7.63
"220",2022-06-07,"BA.2",8,7.48
"221",2022-04-16,"BA.1.1",6,7.32
"222",2022-06-04,"BA.2",5,7.14
"223",2022-06-11,"BA.5",3,7.14
"224",2022-06-19,"BA.4",2,7.14
"225",2022-06-19,"BA.5",2,7.14
"226",2022-04-27,"BA.2.9",9,7.09
"227",2022-04-18,"BA.2.3",9,6.87
"228",2022-04-13,"BA.1.1",8,6.78
"229",2022-04-13,"BA.2.9",8,6.78
"230",2022-04-19,"BA.2.3",8,6.78
"231",2022-04-28,"BA.2.3",8,6.67
"232",2022-06-17,"BA.2",3,6.67
"233",2022-06-21,"BA.5.5",3,6.67
"234",2022-05-29,"BA.2",3,6.52
"235",2022-05-29,"BA.4",3,6.52
"236",2022-05-29,"BA.5",3,6.52
"237",2022-06-01,"BA.2.9",6,6.52
"238",2022-06-01,"BA.5",6,6.52
"239",2022-06-18,"BA.4.1",3,6.52
"240",2022-06-18,"BA.5.1",3,6.52
"241",2022-06-18,"BA.5.2.1",3,6.52
"242",2022-06-12,"BA.5.1",3,6.25
"243",2022-06-23,"BA.5",4,6.15
"244",2022-06-25,"BA.4.1",4,6.15
"245",2022-06-20,"BA.5.1",4,5.97
"246",2022-04-22,"BA.2.9",6,5.88
"247",2022-06-05,"BA.4",3,5.88
"248",2022-06-22,"BA.4",4,5.88
"249",2022-06-22,"BA.5.2",4,5.88
"250",2022-06-22,"BE.1",4,5.88
"251",2022-06-26,"BA.4",3,5.88
"252",2022-06-26,"BA.4.1",3,5.88
